1000,BOTON DE BOCINA   (CONTACTOR),,VARIOS,UNIVERSAL,NAONIS,35.20,NO,NO
1005/D,OPTICA CHEV.ASTRA 03/11,,OPTICA,CHEVROLET,ARTEB,3214.07,NO,NO
1005/I,OPTICA CHEV.ASTRA 03/11,,OPTICA,CHEVROLET,ARTEB,3214.07,NO,NO
1007/D,OPTICA CHEV.ASTRA 99/03 M/MANUAL,,OPTICA,CHEVROLET,DEPO,1207.65,NO,NO
1007/I,OPTICA CHEV.ASTRA 99/03 M/MANUAL,,OPTICA,CHEVROLET,DEPO,1207.65,NO,NO
101,PORTAEQUIPAJE CHEV.CORSA II 2004,,PORTAEQUIPAJE,CHEVROLET,RS,1034.28,NO,NO
1011/D,OPTICA CHEV.S-10.BLAZER 96/01,,OPTICA,CHEVROLET,RCD,2402.53,NO,NO
1011/I,OPTICA CHEV.S-10.BLAZER 96/01,,OPTICA,CHEVROLET,RCD,2402.53,NO,NO
102,PORTAEQUIPAJE CHEV.CORSA WIND,,PORTAEQUIPAJE,CHEVROLET,RS,1034.28,NO,NO
1023/D,OPTICA CHEV.MERIVA 03/- MANUAL,,OPTICA,CHEVROLET,LAM,1473.60,NO,NO
1023/I,OPTICA CHEV.MERIVA 03/- MANUAL,,OPTICA,CHEVROLET,LAM,1473.60,NO,NO
102860,SOPORTE CELULAR GPS C/CHUPETE BRAZO ROTABLE 360?,,ACCESORIOS VARIOS,UNIVERSAL,CHINA,153.29,NO,NO
103,PORTAEQUIPAJE CHEV.CORSA/ASTRA,,PORTAEQUIPAJE,CHEVROLET,RS,1034.28,NO,NO
1030/D,OPTICA CHEV.P-UP D-20 91/93,,OPTICA,CHEVROLET,ORGUS,1670.59,NO,NO
1030/I,OPTICA CHEV.P-UP D-20 91/93,,OPTICA,CHEVROLET,ORGUS,1670.59,NO,NO
1031/D,OPTICA CHEV.P-UP D-20 93/97,,OPTICA,CHEVROLET,RCD,1535.30,NO,NO
1031/I,OPTICA CHEV.P-UP D-20 93/97,,OPTICA,CHEVROLET,RCD,1535.30,NO,NO
1033/D,OPTICA CHEV.P-UP SILVERADO 97/01,,OPTICA,CHEVROLET,DEPO,1244.72,NO,NO
1033/I,OPTICA CHEV.P-UP SILVERADO 97/01,,OPTICA,CHEVROLET,DEPO,1244.72,NO,NO
1034/24V/B,LAMPARA LEDS 1034 13 LEDS 24 V UNIDAD BLANCA,,LAMPARAS LEDS,UNIVERSAL,TYPER,63.45,NO,NO
1036/D,OPTICA SUZUKI FUN 06/11/CELTA/PRISMA 11-> F/NEGRO,,OPTICA,SUZUKI,LAM,1060.50,NO,NO
1036/I,OPTICA SUZUKI FUN 06/11/CELTA/PRISMA 11-> F/NEGRO,,OPTICA,SUZUKI,LAM,1060.50,NO,NO
1038/D,OPTICA SUZUKI FUN 06/11/CELTA/PRISMA 11-> F/CROMADO,,OPTICA,SUZUKI,LAM,1060.50,NO,NO
1038/I,OPTICA SUZUKI FUN 06/11/CELTA/PRISMA 11-> F/CROMADO,,OPTICA,SUZUKI,LAM,1060.50,NO,NO
104,PORTAEQUIPAJE CHEV.CLASSIC,,PORTAEQUIPAJE,CHEVROLET,RS,1034.28,NO,NO
1045/D,OPTICA FORD ECOSPORT 08/2012,,OPTICA,FORD,DEPO,2415.28,NO,NO
