
01/001/001,FALCON 66/69 DERECHO,1147.83
01/001/002,FALCON 66/69 IZQUIERDO,1147.83
01/001/003,FALCON 70 STD DERECHO,1423.27
01/001/004,FALCON 70 STD IZQUIERDO,1423.27
01/001/009,FALCON 73 STD,1147.83
01/001/010,FALCON 73 LUJO ALUMINIO,1393.82
01/001/011,FALCON 78 STD Y RANCHERO PLASTICO,17.47
01/001/012,F 100 68/71 DERECHO,373.07
01/001/013,F 100 68/71 IZQUIERDO,373.07
01/001/014,F 100 72/73 DERECHO,373.07
01/001/015,F 100 72/73 IZQUIERDO,373.07
01/001/016,F 100 74/80 DERECHO,143.20
01/001/017,F 100 74/80 IZQUIERDO,143.20
01/001/018,F 100 81/87 DERECHO,467.51
01/001/019,F 100 81/87 IZQUIERDO,467.51
01/001/022,F 100 96/99 GRIS DERECHO,182.36
01/001/023,F 100 96/99 GRIS IZQUIERDO,182.36
01/001/024,F 100 96/99 CROMADO DERECHO,228.01
01/001/025,F 100 96/99 CROMADO IZQUIERDO,228.01
01/001/029,FALCON 73 LUJO PLASTICO METALIZADO,49.67
01/001/032,EXPLORER 96/99 CROMADO DERECHO,220.93
01/001/033,EXPLORER 96/99 CROMADO IZQUIERDO,220.93
01/001/036,F 7000 74/80 STD CAMION LARGO,472.25
01/001/038,F 100 61/66 DERECHO,587.22
01/001/039,F 7000 87 STD DELANTERO DERECHO,315.08
01/001/040,F 7000 87 LUJO CROMADO DERECHO,583.58
01/001/041,F 100 61/66 IZQUIERDO,587.22
01/001/045,F 100 67/73 TRASERO DERECHO BANANA,411.85
01/001/046,F 100 67/73 TRASERO IZQUIERDO BANANA,411.85
01/001/047,F 100 65/67 REGLAMENTARIO DERECHO,142.10
01/001/048,F 100 65/67 REGLAMENTARIO IZQUIERDO,142.10
01/001/049,F 7000 87 STD DELANTERO IZQUIERDO,315.08
01/001/051,F 600 68/70 CROMADO,615.59
01/001/052,F 7000 87 LUJO CROMADO IZQUIERDO,583.58
01/001/053,F 7000 74/80 LUJO CAMION LARGO,788.05
01/001/054,EXPLORER 94/95 CROMADO DERECHO,448.80
01/001/055,EXPLORER 94/95 CROMADO IZQUIERDO,448.80
01/001/056,ECOSPORT KINETIC 13/ AUXILIAR GRIS DERECHO,138.55
01/001/057,ECOSPORT KINETIC 13/ AUXILIAR GRIS IZQUIERDO,138.55
01/001/058,ECOSPORT KINETIC 13/ AUXILIAR CROMADO DERECHO,192.25
01/001/059,ECOSPORT KINETIC 13/ AUXILIAR CROMADO IZQUIERDO,192.25
01/001/060,FOCUS KINETIC 13/14 AUXILIAR CROMADO DER,182.08
01/001/061,FOCUS KINETIC 13/14 AUXILIAR CROMADO IZQ,182.08
